"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,7.789917E-05,0.000531332,0.1008788
0,6,0.0006898291,0.002016602,0.2432325
0,9,0.001490533,0.003034765,0.3795975
0,12,0.002065902,0.003444988,0.4961158
0,15,0.002346995,0.00344592,0.5912471
0,18,0.002412267,0.003247609,0.6680681
0,21,0.002358545,0.002983342,0.7300889
0,24,0.002253351,0.002717097,0.780256
0,27,0.002133411,0.002473748,0.8209175
0,30,0.002015588,0.002260093,0.8539317
0,33,0.001906365,0.002075553,0.8807791
0,36,0.001807443,0.001916952,0.9026367
0,39,0.001718477,0.001780423,0.9204487
0,42,0.001638437,0.001662471,0.9349777
0,45,0.001566149,0.001559927,0.9468366
0,48,0.001500508,0.001470171,0.956522
0,51,0.00144054,0.001391064,0.9644355
0,54,0.001385435,0.001320832,0.9709035
0,57,0.001334524,0.001258036,0.9761915
0,60,0.001287254,0.001201511,0.9805166
0,63,0.001243167,0.001150309,0.9840543
0,66,0.001201883,0.001103642,0.9869485
0,69,0.00116309,0.00106086,0.9893168
0,72,0.001126524,0.001021441,0.9912548
0,75,0.00109196,0.0009849452,0.9928409
0,78,0.001059212,0.0009509989,0.9941391
0,81,0.001028115,0.0009193053,0.9952018
0,84,0.0009985325,0.0008896008,0.9960716
0,87,0.0009703418,0.0008616695,0.9967838
0,90,0.0009434375,0.0008353295,0.9973668
0,93,0.0009177268,0.0008104234,0.997844
0,96,0.0008931275,0.0007868169,0.9982347
0,99,0.0008695656,0.0007643948,0.9985546
0,102,0.0008469757,0.0007430569,0.9988165
0,105,0.0008252982,0.0007227161,0.9990309
0,108,0.0008044795,0.0007032961,0.9992065
0,111,0.0007844706,0.0006847298,0.9993502
0,114,0.0007652266,0.0006669578,0.9994678
0,117,0.0007467064,0.0006499269,0.9995642
0,120,0.000728872,0.0006335898,0.9996431
0,135,0.0006488373,0.0005609454,0.9998685
0,150,0.000581564,0.0005006134,0.9999514
0,165,0.0005244091,0.0004498189,0.999982
0,180,0.000475377,0.0004065729,0.9999933
0,195,0.00043293,0.0003693861,0.9999975
0,210,0.0003958699,0.0003371166,0.999999
0,225,0.0003632553,0.000308876,0.9999996
0,240,0.0003343429,0.0002839672,0.9999998
0,255,0.0003085403,0.000261838,0.9999999
0,270,0.0002853746,0.0002420498,1
0,285,0.0002644657,0.0002242518,1
0,300,0.000245504,0.0002081601,1
0,315,0.0002282372,0.0001935445,1
0,330,0.0002124583,0.0001802175,1
0,345,0.0001979954,0.000168024,1
0,360,0.0001847037,0.0001568346,1
0,375,0.0001724606,0.0001465403,1
0,390,0.0001611616,0.0001370487,1
0,405,0.0001507168,0.0001282811,1
0,420,0.0001410478,0.000120169,1
0,435,0.0001320864,0.0001126534,1
0,450,0.0001237728,0.0001056825,1
0,465,0.0001160532,9.921051E-05,1
0,480,0.0001088802,9.319673E-05,1
0,495,0.0001022106,8.760447E-05,1
0,510,9.600576E-05,8.240096E-05,1
0,525,9.022959E-05,7.755573E-05,1
0,540,8.48508E-05,7.304243E-05,1
0,555,7.983844E-05,6.883488E-05,1
0,570,7.516686E-05,6.491171E-05,1
0,585,7.081004E-05,6.125098E-05,1
0,600,6.674627E-05,5.783462E-05,1
0,615,6.295428E-05,5.464482E-05,1
0,630,5.94151E-05,5.166582E-05,1
0,645,5.611102E-05,4.888284E-05,1
0,660,5.302556E-05,4.628216E-05,1
0,675,5.01433E-05,4.385094E-05,1
0,690,4.745016E-05,4.157745E-05,1
0,705,4.493264E-05,3.945042E-05,1
0,720,4.257869E-05,3.745983E-05,1
0,735,4.037675E-05,3.559606E-05,1
0,750,3.831638E-05,3.385043E-05,1
0,765,3.638784E-05,3.221484E-05,1
0,780,3.458204E-05,3.068172E-05,1
0,795,3.289061E-05,2.924413E-05,1
0,810,3.13057E-05,2.789555E-05,1
0,825,2.981999E-05,2.662987E-05,1
0,840,2.842671E-05,2.544146E-05,1
0,855,2.711951E-05,2.432505E-05,1
0,870,2.589251E-05,2.327574E-05,1
0,885,2.474027E-05,2.228901E-05,1
0,900,2.365771E-05,2.136063E-05,1
0,915,2.264015E-05,2.04867E-05,1
0,930,2.168319E-05,1.966357E-05,1
0,945,2.078276E-05,1.888786E-05,1
0,960,1.993509E-05,1.815641E-05,1
0,975,1.913664E-05,1.746631E-05,1
0,990,1.838416E-05,1.681481E-05,1
0,1005,1.767456E-05,1.619938E-05,1
0,1020,1.700496E-05,1.561759E-05,1
0,1035,1.63728E-05,1.506733E-05,1
0,1050,1.577556E-05,1.454649E-05,1
0,1065,1.521089E-05,1.405311E-05,1
0,1080,1.467668E-05,1.358544E-05,1
0,1095,1.4171E-05,1.314187E-05,1
0,1110,1.369191E-05,1.272077E-05,1
0,1125,1.323768E-05,1.232071E-05,1
0,1140,1.280679E-05,1.194041E-05,1
0,1155,1.239769E-05,1.15786E-05,1
0,1170,1.200899E-05,1.123408E-05,1
0,1185,1.163944E-05,1.090584E-05,1
0,1200,1.128781E-05,1.059284E-05,1
0,1215,1.095299E-05,1.029414E-05,1
0,1230,1.063393E-05,1.000889E-05,1
0,1245,1.032967E-05,9.736277E-06,1
0,1260,1.003929E-05,9.475524E-06,1
0,1275,9.761933E-06,9.225915E-06,1
0,1290,9.496843E-06,8.986822E-06,1
0,1305,9.243253E-06,8.7576E-06,1
0,1320,9.000458E-06,8.537659E-06,1
0,1335,8.76785E-06,8.326489E-06,1
0,1350,8.54482E-06,8.123578E-06,1
0,1365,8.330795E-06,7.928445E-06,1
0,1380,8.125258E-06,7.740656E-06,1
0,1395,7.92774E-06,7.559816E-06,1
0,1410,7.737774E-06,7.385535E-06,1
0,1425,7.554936E-06,7.217453E-06,1
0,1440,7.378844E-06,7.055248E-06,1
